order_id,order_date,region,product,quantity,unit_price,revenue,customer_segment
1001,2025-01-03,West,Laptop,2,1200.00,2400.00,Enterprise
1002,2025-01-05,East,Mouse,10,25.00,250.00,SMB
1003,2025-01-07,West,Keyboard,5,75.00,375.00,Consumer
1004,2025-01-09,North,Monitor,3,450.00,1350.00,Enterprise
1005,2025-01-12,South,Laptop,1,1200.00,1200.00,SMB
1006,2025-01-15,East,Laptop,4,1200.00,4800.00,Enterprise
1007,2025-01-18,West,Mouse,20,25.00,500.00,Consumer
1008,2025-01-20,North,Keyboard,8,75.00,600.00,SMB
1009,2025-01-22,South,Monitor,2,450.00,900.00,Consumer
1010,2025-01-25,West,Laptop,3,1200.00,3600.00,Enterprise
1011,2025-02-02,East,Monitor,5,450.00,2250.00,Enterprise
1012,2025-02-04,West,Mouse,15,25.00,375.00,SMB
1013,2025-02-07,North,Laptop,2,1200.00,2400.00,Enterprise
1014,2025-02-10,South,Keyboard,6,75.00,450.00,Consumer
1015,2025-02-13,East,Laptop,1,1200.00,1200.00,SMB
1016,2025-02-16,West,Monitor,4,450.00,1800.00,Enterprise
1017,2025-02-19,North,Mouse,12,25.00,300.00,Consumer
1018,2025-02-22,South,Laptop,2,1200.00,2400.00,SMB
1019,2025-02-25,East,Keyboard,7,75.00,525.00,Enterprise
1020,2025-02-28,West,Monitor,3,450.00,1350.00,Consumer
1021,2025-03-03,North,Laptop,5,1200.00,6000.00,Enterprise
1022,2025-03-06,South,Mouse,18,25.00,450.00,SMB
1023,2025-03-09,East,Monitor,2,450.00,900.00,Consumer
1024,2025-03-12,West,Keyboard,9,75.00,675.00,Enterprise
1025,2025-03-15,North,Laptop,1,1200.00,1200.00,SMB
